ds,y,month,quarter,year,month_sin,month_cos,y_log,lag_1,lag_2,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_std_3,diff_1_3,diff_1_12,region_Caribbean,region_Central Africa,region_Central America,region_Central Asia,region_Central US,region_Eastern Africa,region_Eastern Asia,region_Eastern Europe,region_Eastern US,region_North Africa,region_Northern Europe,region_Oceania,region_South America,region_Southeastern Asia,region_Southern Africa,region_Southern Asia,region_Southern Europe,region_Southern US,region_Western Africa,region_Western Asia,region_Western Europe,region_Western US
2013-01-01,0.0,1,1,2013,0.49999999999999994,0.8660254037844387,0.0,5.792007004367292,6.799501693541883,6.97318715096299,7.387903527136586,5.803657975083454,6.521565282957389,6.5251016284600425,0.6377563178239833,-1.1811801465956977,-0.011650970716162057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,526.68,2,1,2013,0.8660254037844386,0.5000000000000001,6.268490039371234,0.0,5.792007004367292,6.799501693541883,5.900937907908424,7.519621902715972,4.197169565969725,5.293784373937278,3.6695961169188087,-6.799501693541883,-7.519621902715972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,25.23,3,1,2013,1.0,6.123233995736766e-17,3.2669037938787824,6.268490039371234,0.0,5.792007004367292,6.297072486843082,5.4628991668639815,4.0201656812461755,5.355043062514414,3.4897074518021944,0.47648303500394196,0.8055908725072527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,1276.17,4,2,2013,0.8660254037844387,-0.4999999999999998,7.1524019716828295,3.2669037938787824,6.268490039371234,0.0,6.97318715096299,5.659760922561871,3.1784646110833386,4.850014947020363,3.135180690201796,3.2669037938787824,-2.3928571286830884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,1351.02,5,2,2013,0.49999999999999994,-0.8660254037844387,7.2093550493929035,7.1524019716828295,3.2669037938787824,6.268490039371234,6.799501693541883,6.624078507924196,5.562598601644282,4.879884083807004,2.036660517568356,0.8839119323115954,0.5283234637586336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,4899.827999999996,6,2,2013,1.2246467991473532e-16,-1.0,8.497159449415111,7.2093550493929035,7.1524019716828295,3.2669037938787824,5.792007004367292,5.240688253711401,5.876220271651505,4.948192976448841,2.259913775821402,3.942451255514121,1.9686667956815027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,1305.8339999999978,7,3,2013,-0.4999999999999997,-0.8660254037844388,7.175362697141748,8.497159449415111,7.2093550493929035,7.1524019716828295,0.0,7.387903527136586,7.619638823496949,5.399051717290145,0.7604884942910226,1.3447574777322817,1.1092559222785257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,1610.22,8,3,2013,-0.8660254037844385,-0.5000000000000004,7.384746934995499,7.175362697141748,8.497159449415111,7.2093550493929035,6.268490039371234,5.900937907908424,7.627292398649921,6.594945500147102,0.7535186689844521,-0.03399235225115582,1.2744247892333238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,359.90999999999997,9,3,2013,-1.0,-1.8369701987210297e-16,5.888628619771381,7.384746934995499,7.175362697141748,8.497159449415111,3.2669037938787824,6.297072486843082,7.685756360517452,6.780988316084478,0.7104517360594643,-1.1124125144196126,1.0876744481524163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,772.5,10,4,2013,-0.8660254037844386,0.5000000000000001,6.6509256700131205,5.888628619771381,7.384746934995499,7.175362697141748,7.1524019716828295,6.97318715096299,6.816246083969542,7.217942453733245,0.8101333591943213,-1.286734077370367,-1.0845585311916093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,2287.77,11,4,2013,-0.5000000000000004,0.8660254037844384,7.735769834344861,6.6509256700131205,5.888628619771381,7.384746934995499,7.2093550493929035,6.799501693541883,6.641433741593334,7.134363070121627,0.7481043214793726,-0.7338212649823781,-0.1485760235287623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,343.83,12,4,2013,-2.4492935982947064e-16,1.0,5.843051541965209,7.735769834344861,6.6509256700131205,5.888628619771381,8.497159449415111,5.792007004367292,6.758441374709787,7.22209886761362,0.928252329224828,1.8471412145734805,1.9437628299775689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
